file,donor,state,replicate,concentration,livepct,value,exp
20181023-d38-act1.tiff,Donor 38,Activated (7 days),R1,2050000.0,0.39,11.38,20181024-d38-act-20X-5by5
20181023-d38-act2.tiff,Donor 38,Activated (7 days),R2,2240000.0,0.32,11.49,20181024-d38-act-20X-5by5
20181023-d38-unstim1.tiff,Donor 38,Unstimulated,R1,3200000.0,0.8,10.18,20181024-d38-unstim-20X-5by5
20181023-d38-unstim2.tiff,Donor 38,Unstimulated,R2,3740000.0,0.8,10.22,20181024-d38-unstim-20X-5by5
20181023-d39-act1.tiff,Donor 39,Activated (7 days),R1,2830000.0,0.3,9.95,20181024-d39-act-20x-5by5
20181023-d39-act2.tiff,Donor 39,Activated (7 days),R2,3520000.0,0.34,10.45,20181024-d39-act-20x-5by5
20181023-d39-us1.tiff,Donor 39,Unstimulated,R1,4290000.0,0.85,10.6,20181024-d39-unstim-20x-5by5
20181023-d39-us2.tiff,Donor 39,Unstimulated,R2,4290000.0,0.82,10.27,20181024-d39-unstim-20x-5by5
20181023-jurkat1.tiff,Jurkat,Unstimulated,R1,809000.0,0.91,14.48,20181024-jurkat-20X-5by5
20181023-jurkat2.tiff,Jurkat,Unstimulated,R2,727000.0,0.94,14.4,20181024-jurkat-20X-5by5
20181023-jurkat3.tiff,Jurkat,Unstimulated,R3,856000.0,0.95,13.53,20181024-jurkat-20X-5by5
20181023-jurkat4.tiff,Jurkat,Unstimulated,R4,762000.0,0.98,14.21,20181024-jurkat-20X-5by5
20181025-pmel-act1.tiff,Pmel mouse,Activated (3 days),R1,1900000.0,0.64,13.38,20181026-pmel-act-20x-5by5
20181025-pmel-act2.tiff,Pmel mouse,Activated (3 days),R2,1760000.0,0.61,12.08,20181026-pmel-act-20x-5by5
20181025-pmel-us1.tiff,Pmel mouse,Unstimulated,R1,1250000.0,0.57,8.26,20181026-pmel-us-20x-5by5
20181025-pmel-us2.tiff,Pmel mouse,Unstimulated,R2,1510000.0,0.49,7.6,20181026-pmel-us-20x-5by5
